"pfad","min_eur_basis_muenchen","max_eur_basis_muenchen","einheit","groesse_von","groesse_bis","hinweis"
"","","","","","","GU_MARGE=1.15; NOTDIENST_AUFSCHLAG_EUR=150; Werte vor PLZ/Mindestauftrag/Rundung im Rechner"
"bad.klein_standard","9000","12000","pauschal","0","5",""
"bad.klein_komfort","12000","16000","pauschal","0","5",""
"bad.klein_gehoben","16000","22000","pauschal","0","5",""
"bad.mittel_standard","13000","17000","pauschal","5","8",""
"bad.mittel_komfort","17000","22000","pauschal","5","8",""
"bad.mittel_gehoben","22000","30000","pauschal","5","8",""
"bad.gross_standard","17000","22000","pauschal","8","12",""
"bad.gross_komfort","22000","28000","pauschal","8","12",""
"bad.gross_gehoben","28000","40000","pauschal","8","999",""
"heizung.klein","8500","12500","pauschal","0","100",""
"heizung.mittel","12500","18000","pauschal","100","200",""
"heizung.gross","18000","26000","pauschal","200","999",""
"heizung.wp_klein","28500","38500","pauschal","","",""
"heizung.wp_mittel","38500","52000","pauschal","","",""
"heizung.wp_gross","52000","68000","pauschal","","",""
"heizung.wartung","180","400","pauschal","","",""
"heizung.heizkoerper","280","580","pro Stück","","",""
"heizung_notfall.ausfall","250","600","pauschal","","",""
"sanitaer.verstopfung","120","250","pauschal","","",""
"sanitaer.leck","250","600","pauschal","","",""
"sanitaer.wc","120","220","pauschal","","",""
"sanitaer.armatur","120","200","pauschal","","",""
"elektro.steckdose","90","140","pro Punkt","","",""
"elektro.fi_schalter","180","260","pauschal","","",""
"elektro.fehlersuche","160","300","pauschal","","",""
"elektro.leitungen","85","130","pro m","","",""
"elektro.sicherungskasten","900","2200","pauschal","","",""
"elektro.echeck","150","350","pauschal","","",""
"maler.waende","24","34","pro m² Wandfläche","","",""
"maler.waende_decke","28","40","pro m² Wandfläche","","",""
"maler.komplett","32","46","pro m² Wandfläche","","",""
"maler.tapezieren","18","32","pro m²","","",""
"boden.laminat","32","48","pro m²","","",""
"boden.parkett","75","120","pro m²","","",""
"boden.parkett_schleifen","22","42","pro m²","","",""
"boden.vinyl","35","52","pro m²","","",""
"boden.fliesen","72","102","pro m²","","",""
"boden.balkon_belag","72","102","pro m²","","",""
"boden.teppich","22","35","pro m²","","",""
"dach.ziegel_wenige","300","800","pauschal","","",""
"dach.ziegel_bereich","800","2500","pauschal","","",""
"dach.daemmung","120","180","pro m²","","",""
"dach.komplett","180","260","pro m²","","",""
"dach.dachfenster","900","1800","pro Stück","","",""
"dach.regenrinne","38","62","pro lfd. m","","",""
"fassade.anstrich","45","65","pro m²","","",""
"fassade.daemmung","160","240","pro m²","","",""
"fassade.bekleidung","120","180","pro m²","","",""
"fenster.standard","650","950","pro Stück","","",""
"fenster.premium","950","1450","pro Stück","","",""
"fenster.tuer","1800","3200","pro Stück","","",""
"fenster.reparatur","150","350","pauschal","","",""
"garten.pflege_klein","55","90","pro Besuch","0","100",""
"garten.pflege_mittel","80","140","pro Besuch","100","300",""
"garten.pflege_gross","130","220","pro Besuch","300","999",""
"garten.hecke","8","18","pro m²","","",""
"garten.pflaster","90","130","pro m²","","",""
"garten.gestaltung","45","85","pro m²","","",""
"garten.baum_klein","150","350","pro Stück","","",""
"garten.baum_gross","400","900","pro Stück","","",""
"garten.rasen","1.5","2.5","pro m²","","",""
"trockenbau.wand","48","72","pro m²","","",""
"trockenbau.decke","42","65","pro m²","","",""
"reinigung.regelmaessig","1.3","2","pro m²/Monat","","",""
"reinigung.einmalig","2.8","4.2","pro m²","","",""
"winterdienst.saison","620","920","pro Saison","","",""
"winterdienst.einmalig","180","320","pauschal","","",""
"hausmeister.monatlich","350","650","pro Monat","","",""
"hausmeister.nach_bedarf","330","630","pro Monat","","",""
"hausmeister.jahresvertrag","4200","7200","pro Jahr","","",""
"terrasse.holz","180","320","pro m²","","",""
"terrasse.stein","120","220","pro m²","","",""
"terrasse.beton","80","140","pro m²","","",""
"projekt.baum","450","450","pro Baum","","",""
"projekt.ausbau_dg","850","1200","pro m²","","",""
"projekt.ausbau_keller","950","1400","pro m²","","",""
"projekt.durchbruch_tragend","4500","4500","pauschal","","",""
"projekt.durchbruch_nicht_tragend","1800","1800","pauschal","","",""
"projekt.terrasse","280","450","pro m²","","",""
"projekt.garten_auffrischung","120","180","pro m²","","",""
"projekt.garten_neuanlage","250","450","pro m²","","",""
"abriss.innen","25","45","pro m²","","",""
"abriss.komplett","8000","18000","pauschal","","",""
